Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),surface_area_km2,Latitude,Longitude
Afghanistan,2010,49,3.8,43.4,28.19,13.95,14.24,102.1,652230,33,65
Afghanistan,2015,45.8,3.8,52,33.75,16.68,17.07,102.3,652230,33,65
Afghanistan,2021,43.4,3.8,61.8,40.1,19.84,20.25,102.1,652230,33,65
Afghanistan,2022,43.1,3.8,63.3,41.13,20.36,20.77,102,652230,33,65
Albania,2010,21,16.2,106.3,2.91,1.45,1.46,100.3,27400,41,20
Albania,2015,18.2,19,105.2,2.88,1.44,1.45,100.6,27400,41,20
Albania,2021,16.3,22.9,104.2,2.85,1.43,1.43,99.8,27400,41,20
Albania,2022,16.1,23.5,103.7,2.84,1.42,1.42,99.5,27400,41,20
Algeria,2010,27.6,7.1,15.1,35.86,17.57,18.28,104,2381740,28,3
Algeria,2010,27.6,7.1,15.1,35.86,17.57,18.28,104,2381741,28,3
Algeria,2015,29,8.1,16.6,39.54,19.39,20.15,103.9,2381740,28,3
Algeria,2015,29,8.1,16.6,39.54,19.39,20.15,103.9,2381741,28,3
Algeria,2021,30.7,9.4,18.5,44.18,21.68,22.5,103.8,2381740,28,3
Algeria,2021,30.7,9.4,18.5,44.18,21.68,22.5,103.8,2381741,28,3
Algeria,2022,30.6,9.7,18.9,44.9,22.04,22.86,103.7,2381740,28,3
Algeria,2022,30.6,9.7,18.9,44.9,22.04,22.86,103.7,2381741,28,3
American Samoa,2010,34.6,6.7,274.2,0.05,0.03,0.03,101.7,200,-14.33,-170
American Samoa,2015,31.5,8.3,256.8,0.05,0.03,0.03,100.4,200,-14.33,-170
American Samoa,2021,27.5,11.4,225.2,0.05,0.02,0.02,98,200,-14.33,-170
American Samoa,2022,27.1,12.1,221.4,0.04,0.02,0.02,97.6,200,-14.33,-170
Andorra,2010,16.3,15.3,152.2,0.07,0.04,0.04,103.1,470,42.5,1.5
Andorra,2015,15.5,17.6,152.7,0.07,0.04,0.04,101.8,470,42.5,1.5
Andorra,2021,13.1,20.9,168.2,0.08,0.04,0.04,104.4,470,42.5,1.5
Andorra,2022,12.8,21.6,169.8,0.08,0.04,0.04,104.5,470,42.5,1.5
Angola,2010,45.7,4.1,18.7,23.36,11.85,11.51,97.1,1246700,-12.5,18.5
Angola,2015,45.8,4.1,22.6,28.13,14.25,13.88,97.4,1246700,-12.5,18.5
Angola,2021,45.2,4.3,27.7,34.5,17.45,17.05,97.7,1246700,-12.5,18.5
Angola,2022,45,4.3,28.5,35.59,18,17.59,97.7,1246700,-12.5,18.5
Anguilla,2010,23.6,10.3,149.7,0.01,0.01,0.01,96.5,,18.25,-63.17
Anguilla,2015,20.3,12.2,165.1,0.01,0.01,0.01,96.9,,18.25,-63.17
Anguilla,2021,17.6,15.4,179,0.02,0.01,0.01,96,,18.25,-63.17
Anguilla,2022,17.3,16,180.2,0.02,0.01,0.01,95.8,,18.25,-63.17
Antigua and Barbuda,2010,23.8,10.4,194.8,0.09,0.05,0.04,90,440,17.05,-61.8
Antigua and Barbuda,2015,21.2,12.2,204.4,0.09,0.05,0.04,91,440,17.05,-61.8
Antigua and Barbuda,2021,18.8,15.5,211.9,0.09,0.05,0.04,91.4,440,17.05,-61.8
Antigua and Barbuda,2022,18.5,16.1,213.1,0.09,0.05,0.04,91.4,440,17.05,-61.8
Argentina,2010,25.6,14.6,14.7,41.1,20.79,20.31,97.7,2736690,-34,-64
Argentina,2015,24.7,15.3,15.5,43.26,21.85,21.4,97.9,2736690,-34,-64
Argentina,2021,23.4,16.1,16.2,45.28,22.86,22.41,98,2736690,-34,-64
Argentina,2022,23.1,16.2,16.3,45.51,22.98,22.53,98,2736690,-34,-64
Armenia,2010,19.3,14,103.5,2.95,1.59,1.36,85.6,28470,40,45
Armenia,2015,19.6,15.8,101.1,2.88,1.57,1.31,83.9,28470,40,45
Armenia,2021,20.4,19.8,98.1,2.79,1.53,1.26,81.9,28470,40,45
Armenia,2022,20.5,20.3,97.7,2.78,1.53,1.25,81.7,28470,40,45
Aruba,2010,20.7,14.7,557.5,0.1,0.05,0.05,91.2,180,12.5,-69.97
Aruba,2015,18.8,18.2,579.2,0.1,0.05,0.05,90.2,180,12.5,-69.97
Aruba,2021,16.8,23.2,591.9,0.11,0.06,0.05,89.1,180,12.5,-69.97
Aruba,2022,16.2,23.9,591.4,0.11,0.06,0.05,89.2,180,12.5,-69.97
Australia,2010,19.1,19,2.9,22.02,11.06,10.96,99.1,7682300,-27,133
Australia,2010,19.1,19,2.9,22.02,11.06,10.96,99.1,7692020,-27,133
Australia,2015,18.9,20.3,3.1,23.82,11.99,11.83,98.7,7682300,-27,133
Australia,2015,18.9,20.3,3.1,23.82,11.99,11.83,98.7,7692020,-27,133
Australia,2021,18.4,22.2,3.4,25.92,13.05,12.87,98.6,7682300,-27,133
Australia,2021,18.4,22.2,3.4,25.92,13.05,12.87,98.6,7692020,-27,133
